PAYEE_ID,STANDARD_NAME,LAST_CHARGE_DATE,CHARGE_CT,TOTAL_AMOUNT,PERCENT_REIMBURSE,DISPUTE,CANCEL,REVIEW
P21119-453,Wendy's,21084,8,-12194,,,,
P21119-477,BEST BAGEL,20893,1,-2344,,,,
P21119-518,HP Instant,21087,32,-7803,,,,
P21119-29,De Piero's,20214,1,-1975,,,,
P21119-88,THERANEST MONTHLY,21087,32,-141775,,,,
P21119-180,Duane Reade,21044,21,-28948,,,,
P21119-253,dhgate.com -,21089,1,-16937,,,,
P21119-318,PEACOCK*A2DB0 PREMIUNEW,20579,1,-599,,,,
P21119-374,CHECK #,21023,3,-148500,,,,
P21119-457,AplPay ADAM'S,20996,1,-904,,,,
P21119-522,Superhuman,21105,14,-35000,,,,
P21119-751,AplPay CHELSEA,20910,3,-35500,,,,
P21119-137,PEACOCK*309C7 PREMIUNEW,20274,1,-499,,,,
P21119-196,TRUTHFINDER CA,21101,30,-32970,,,,
P21119-465,Bespoke,21103,7,-43642,,,,
P21119-694,IPARK 338,21081,4,-26600,,,,
P21119-743,AplPay CLINTON,21070,1,-1694,,,,
P21119-767,Psychotheraphy,20907,1,-29700,,,,
P21119-21,REMOVAL OF,20528,1,-721,,,,
P21119-80,CARE.com,20877,26,-87870,,,,
P21119-245,PHONE.COM XXXX7880,20517,1,-2398,,,,
P21119-310,Residence Inn,20849,7,-338435,,,,
P21119-473,LA DELICE,20996,1,-2080,,,,
P21119-514,PwP seemyhelp.c,20883,3,-27254,,,,
P21119-13,MEMBERSHIP FEE,20402,1,0,,,,
P21119-188,AplPay MOONLIGHT,20230,1,-437,,,,
P21119-302,AplPay TRADE,21104,1,-11313,,,,
P21119-506,AIR TICKETS,20573,1,-34978,,,,
P21119-759,Quicken,20993,7,-86453,,,,
P21119-11,MERCHANT BANKCD,21096,32,-95840,,,,
P21119-259,DigitalRiver US,20471,1,-10882,,,,
P21119-300,The Clarendon,20851,1,-41426,,,,
P21119-463,L CITY,20294,3,-4353,,,,
P21119-504,IPHONE CITIZ*payment,20799,1,-6658,,,,
P21119-528,UPS,20181,3,-6407,,,,
P21119-692,LGA E,20266,1,-1022,,,,
P21119-27,DEA REGISTRATION,20515,1,-88800,,,,
P21119-86,"Scribd, Inc",20771,21,-25179,,,,
P21119-316,PEACOCK*C03C5 PREMIUNEW,20366,1,-599,,,,
P21119-372,RENEWAL MEMBERSHIP,21047,9,-235500,,,,
P21119-471,NYC DEPT,21061,6,-2804799,,,,
P21119-749,CREATIVERICAXXXXXX7733 NY,20258,2,-23213,,,,
P21119-186,SP SECURITY,20314,1,-10886,,,,
P21119-251,Digitalocean,21064,6,-30261,,,,
P21119-455,Home,20938,1,-7077,,,,
P21119-479,LAST STATEMENT,20811,1,-1514821,,,,
P21119-520,Amazon Kindle,21087,30,-35655,,,,
P21119-757,CLOUD JKVN6P,20436,1,-5,,,,
P21119-19,McDonald's,21086,36,-47358,,,,
P21119-135,CHELSEA CHARMING,21018,1,-3351,,,,
P21119-194,Marketplace Iga,20316,1,-1290,,,,
P21119-243,PHONE.COM XXXX3718,20396,1,-2369,,,,
P21119-308,SiteGround,21041,3,-173928,,,,
P21119-512,ADOBE PRODUCTS,20455,10,-10880,,,,
P21119-741,WHISKY RIVER,20549,1,-2556,,,,
P21119-765,CLOUD NBV8H3,20729,1,-5,,,,
P21119-23,Google,21114,199,-330267,,,,
P21119-82,THERANEST CLIENTPORTBIRMINGHAM,20904,26,-16978,,,,
P21119-139,PEACOCK*2DFD1 PREMIUNEW,20824,1,-799,,,,
P21119-198,Masterclass,20937,1,-14400,,,,
P21119-247,ELEVENLABS.IO NEW,21112,23,-11100,,,,
P21119-312,Chestnut,21004,1,-3264,,,,
P21119-516,PwP pbpayhelp.c,20553,2,-3990,,,,
P21119-745,STEPHENSON BAR-B-Q,20272,2,-6728,,,,
P21119-769,CLOUD NGM9SX,20515,1,-5,,,,
P21119-255,Discount Club,20244,1,-1997,,,,
P21119-459,Best Buy,21104,30,-833982,,,,
P21119-500,Clear,20646,2,-36800,,,,
P21119-524,usr.setravieso.com -,21050,1,-299,,,,
P21119-15,TASKER ON,20772,12,-156623,,,,
P21119-131,PEACOCK*9D595 PREMIUNEW,20305,1,-499,,,,
P21119-190,FREESHIPPING.COM XXX-XXX-9185,20901,26,-47600,,,,
P21119-304,AplPay SOCO,20999,1,-1350,,,,
P21119-467,NYCDOT PARKNYC,21067,34,-33990,,,,
P21119-508,ALLENDALE MOTORS,20792,2,-16626,,,,
P21119-696,BUZZFEED/IPORTE ST2844,21004,1,-5132,,,,
P21119-761,QUINNS BON,21036,1,-406,,,,
P21119-182,Eyebuydirect Tx,20358,1,400,,,,
P21119-376,Shavers,20419,1,-9797,,,,
P21119-451,AplPay ABC,21008,1,-33309,,,,
P21119-475,Xbyte Technologies,20366,2,-764700,,,,
P21119-753,Starbucks New,21044,1,857,,,,
P21119-36,Microsoft Msbill,20696,5,643687,,,,
P21119-95,PEACOCK*E1587 PREMIUNEW,20489,1,-599,,,,
P21119-155,DEPARTMENT OF,20693,1,-12863,,,,
P21119-325,DRI*LOGI STORE,20657,1,-24059,,,,
P21119-384,Rocket Software,21061,3,-203656,,,,
P21119-400,SP 32DEGREES,20791,1,-4598,,,,
P21119-588,21ST ST,20293,1,-3373,,,,
P21119-702,AD PARKING,20872,1,-533,,,,
P21119-147,TST* SULLIVAN,20695,2,-4706,,,,
P21119-268,Federal Express,21063,2,-4275,,,,
P21119-416,Seed,20667,1,-3005,,,,
P21119-645,HUDSONSTXXXX 1740,20833,2,-3338,,,,
P21119-710,IMDB IMDB.COM,21021,3,-48990,,,,
P21119-276,ESPOSITO MEAT,21056,1,-2032,,,,
P21119-580,OPENAI* CHATGPT,21012,1,-2178,,,,
P21119-653,"CPI*GREEN FIG,",21033,3,-1175,,,,
P21119-718,Belk,20269,1,-15356,,,,
P21119-774,Ny Penn,21044,4,0,,,,
P21119-204,MAILED INC,20956,1,-125,,,,
P21119-260,MT. OLIVE,21084,1,-1884,,,,
P21119-333,DDOT *MULTI,20317,1,-460,,,,
P21119-392,ROCKY'S PIZZERIA,20576,4,-8358,,,,
P21119-408,MISERICORDIA U,20334,1,-2999,,,,
P21119-537,Pret A,20834,3,-8394,,,,
P21119-596,Adobe Systems,21097,21,-127881,,,,
P21119-143,San Francisco,20890,25,-34357,,,,
P21119-208,Mcdonald Fxxx,21044,1,217,,,,
P21119-264,"Phone.com, Inc",20882,9,-21909,,,,
P21119-337,D'Agostino's,20153,1,-3960,,,,
P21119-396,ROXOBI.COM,20882,5,-2200,,,,
P21119-412,Mission Hospital,21007,1,-696,,,,
P21119-641,AplPay LEO'S,20862,1,-764,,,,
P21119-32,CENTRAL LOAN,21099,32,-7775040,,,,
P21119-91,CBG JANOVIC,20162,3,-18277,,,,
P21119-151,TST* TGB,21019,2,-24021,,,,
P21119-321,PEACOCK*CA6B0 PREMIUNEW,20427,1,-599,,,,
P21119-380,TEEPUBLIC,20682,1,-9200,,,,
P21119-584,CONDE NAST,20987,3,-6498,,,,
P21119-657,CR ADJ,20675,3,16849,,,,
P21119-778,PUREHEALTHRESEARCH PXXX-XXX9836,20676,1,-12150,,,,
P21119-99,"CURSOR, AI",21109,10,-21068,,,,
P21119-159,LinkedIn,21103,32,-104480,,,,
P21119-200,Roku,20344,7,-693,,,,
P21119-329,PEACOCK*B6129 PREMIUNEW,20610,1,-599,,,,
P21119-388,Century Theaters,21071,1,-1114,,,,
P21119-404,Milano,20685,1,-2507,,,,
P21119-533,Newegg,20984,1,-42244,,,,
P21119-592,2ND KITCHENS,20455,1,-2038,,,,
P21119-706,ACTBLUE* STOP.TRUMP,20752,1,-3000,,,,
